Datetime,Water Level (m)
2023-09-23 12:00:00,1.0006639
2023-09-23 13:00:00,1.0577832
2023-09-23 14:00:00,0.910396
2023-09-23 15:00:00,0.5679494
2023-09-23 16:00:00,0.08279562
2023-09-23 17:00:00,-0.38679326
2023-09-23 18:00:00,-0.7456979
2023-09-23 19:00:00,-0.87194467
2023-09-23 20:00:00,-0.6299256
2023-09-23 21:00:00,-0.08605049
2023-09-23 22:00:00,0.4936668
2023-09-23 23:00:00,1.004078
2023-09-24 00:00:00,1.4226269
2023-09-24 01:00:00,1.6491885
2023-09-24 02:00:00,1.6300641
2023-09-24 03:00:00,1.3515007
2023-09-24 04:00:00,0.88674706
2023-09-24 05:00:00,0.27855155
2023-09-24 06:00:00,-0.2622631
2023-09-24 07:00:00,-0.71122664
2023-09-24 08:00:00,-0.9512383
2023-09-24 09:00:00,-0.89504355
2023-09-24 10:00:00,-0.46935725
2023-09-24 11:00:00,0.08849145
2023-09-24 12:00:00,0.6394072
2023-09-24 13:00:00,1.0377734
2023-09-24 14:00:00,1.2724057
2023-09-24 15:00:00,1.2898899
2023-09-24 16:00:00,1.0556548
2023-09-24 17:00:00,0.60403335
2023-09-24 18:00:00,0.016519316
2023-09-24 19:00:00,-0.530078
2023-09-24 20:00:00,-0.88877904
2023-09-24 21:00:00,-0.9802951
2023-09-24 22:00:00,-0.6465824
2023-09-24 23:00:00,0.022285877
2023-09-25 00:00:00,0.73500794
2023-09-25 01:00:00,1.3222474
2023-09-25 02:00:00,1.722142
2023-09-25 03:00:00,1.8780049
2023-09-25 04:00:00,1.7293986
2023-09-25 05:00:00,1.2974741
2023-09-25 06:00:00,0.6318055
2023-09-25 07:00:00,-0.06426314
2023-09-25 08:00:00,-0.6943483
2023-09-25 09:00:00,-1.1676
2023-09-25 10:00:00,-1.3147225
2023-09-25 11:00:00,-0.9858588
2023-09-25 12:00:00,-0.20542121
2023-09-25 13:00:00,0.546431
2023-09-25 14:00:00,1.1718717
2023-09-25 15:00:00,1.530671
2023-09-25 16:00:00,1.6320018
2023-09-25 17:00:00,1.4292787
2023-09-25 18:00:00,0.93657523
2023-09-25 19:00:00,0.2413162
2023-09-25 20:00:00,-0.47855625
2023-09-25 21:00:00,-1.0488504
2023-09-25 22:00:00,-1.3667703
2023-09-25 23:00:00,-1.1250919
2023-09-26 00:00:00,-0.26681423
2023-09-26 01:00:00,0.5970618
2023-09-26 02:00:00,1.3821125
2023-09-26 03:00:00,1.8911877
2023-09-26 04:00:00,2.111305
2023-09-26 05:00:00,1.9934998
2023-09-26 06:00:00,1.4823523
2023-09-26 07:00:00,0.71182114
2023-09-26 08:00:00,-0.16492926
2023-09-26 09:00:00,-0.9324124
2023-09-26 10:00:00,-1.5422115
2023-09-26 11:00:00,-1.7046418
2023-09-26 12:00:00,-1.1495594
2023-09-26 13:00:00,-0.11783413
2023-09-26 14:00:00,0.8068628
2023-09-26 15:00:00,1.5158443
2023-09-26 16:00:00,1.9093708
2023-09-26 17:00:00,1.9681724
2023-09-26 18:00:00,1.6743839
2023-09-26 19:00:00,1.0491784
2023-09-26 20:00:00,0.19130217
2023-09-26 21:00:00,-0.6416256
2023-09-26 22:00:00,-1.396504
2023-09-26 23:00:00,-1.7516176
